group_id,group_key,secondary_form,secondary_pos,secondary_lemma_id,secondary_lemma_text,primary_pos,pos_pattern,candidate_status,risk_flags,candidate_count,mechanical_candidate_stem_id,mechanical_candidate_stem_text,clean_deshadda_stem_id,clean_deshadda_stem_text,sample_locations,sample_words,draft_decision,draft_reviewed_stem_id,draft_reviewed_stem_text,confidence,review_required,review_type,priority,special_case,notes
1,مَا|PREV|4|ACC|needs_review_text_match,مَا,PREV,4,مَا,ACC,ACC+PREV,needs_review_text_match,function_word_compound,121,5,مَا,5,مَا,2:11:9:2;2:14:14:2;2:102:30:2;2:117:7:3;2:137:11:3,إِنَّمَا;إِنَّمَا;إِنَّمَا;فَإِنَّمَا;فَإِنَّمَا,accept_mechanical_clean_stem,5,مَا,medium,true,scholar,normal,clean_text_match,"Clean form already matches a clean stem 5 (مَا). Remaining question is sense-collapse (e.g. preventive vs relative ما) — scholar confirm, not auto-approved."
2,مَّا|REL|4|P|needs_review_contextual_idgham,مَّا,REL,4,مَا,P,P+REL,needs_review_contextual_idgham,contextual_idgham;function_word_compound,110,446,مَّا,5,مَا,2:3:6:3;2:23:5:2;2:36:5:2;2:61:14:2;2:79:18:2,وَمِمَّا;مِّمَّا;مِمَّا;مِمَّا;مِّمَّا,map_clean_canonical_stem,5,مَا,medium,true,scholar,normal,idgham,Mechanical 446 (مَّا) is a shadda (idghām) artifact row. Draft = de-shadda clean stem مَا(5). Scholar: confirm idghām canonicalization + variant collapse.
3,مَّا|REL|4|P|circular_match,مَّا,REL,4,مَا,P,P+REL,circular_match,contextual_idgham;same_as_head_stem;function_word_compound,43,446,مَّا,5,مَا,2:74:36:2;2:85:48:2;2:134:13:2;2:140:29:2;2:141:13:2,عَمَّا;عَمَّا;عَمَّا;عَمَّا;عَمَّا,treat_as_head_stem_noop,446,مَّا,low,true,scholar,normal,circular,"Secondary form text-matches the word's OWN head stem 446 (مَّا); likely a no-op (count word once, no second attribution). Note the head itself is often a shadda artifact — clean de-shadda would be مَا(5); head remap is OUT OF SCOPE. Scholar confirm whether a genuine second stem exists."
4,لَّا|NEG|77|SUB|needs_review_contextual_idgham,لَّا,NEG,77,لَا,SUB,SUB+NEG,needs_review_contextual_idgham,contextual_idgham;function_word_compound,39,476,لَّا,78,لَا,2:150:15:3;2:229:19:2;2:229:25:2;2:246:29:2;2:246:34:2,لِئَلَّا;أَلَّا;أَلَّا;أَلَّا;أَلَّا,map_clean_canonical_stem,78,لَا,medium,true,scholar,normal,idgham,Mechanical 476 (لَّا) is a shadda (idghām) artifact row. Draft = de-shadda clean stem لَا(78). Scholar: confirm idghām canonicalization + variant collapse.
5,مَآ|PREV|4|ACC|needs_review_text_match,مَآ,PREV,4,مَا,ACC,ACC+PREV,needs_review_text_match,function_word_compound,39,90,مَآ,90,مَآ,2:181:6:3;5:32:24:3;6:156:3:2;6:159:11:2;7:173:3:2,فَإِنَّمَآ;فَكَأَنَّمَآ;إِنَّمَآ;إِنَّمَآ;إِنَّمَآ,accept_mechanical_clean_stem,90,مَآ,medium,true,scholar,normal,clean_text_match,"Clean form already matches a clean stem 90 (مَآ). Remaining question is sense-collapse (e.g. preventive vs relative ما) — scholar confirm, not auto-approved."
6,مَا|REL|4|P|needs_review_text_match,مَا,REL,4,مَا,P,P+REL,needs_review_text_match,function_word_compound,19,5,مَا,5,مَا,2:113:28:2;2:213:17:2;2:229:32:2;2:234:17:2;2:235:4:2,فِيمَا;فِيمَا;فِيمَا;فِيمَا;فِيمَا,accept_mechanical_clean_stem,5,مَا,medium,true,scholar,normal,clean_text_match,"Clean form already matches a clean stem 5 (مَا). Remaining question is sense-collapse (e.g. preventive vs relative ما) — scholar confirm, not auto-approved."
7,مَّن|REL|130|P|needs_review_contextual_idgham,مَّن,REL,130,مِن,P,P+REL,needs_review_contextual_idgham,contextual_idgham;function_word_compound,14,1220,مَّن,131,مَن,2:114:3:2;2:140:20:2;2:143:24:2;2:282:62:2;3:26:11:2,مِمَّن;مِمَّن;مِمَّن;مِمَّن;مِمَّن,map_clean_canonical_stem,131,مَن,medium,true,scholar,normal,idgham,Mechanical 1220 (مَّن) is a shadda (idghām) artifact row. Draft = de-shadda clean stem مَن(131). Scholar: confirm idghām canonicalization + variant collapse.
8,مَّنْ|REL|130|P|needs_review_contextual_idgham,مَّنْ,REL,130,مِن,P,P+REL,needs_review_contextual_idgham,contextual_idgham;function_word_compound,12,3854,مَّنْ,145,مَنْ,4:125:4:2;5:18:15:2;7:181:1:3;9:101:1:3;11:116:16:2,مِّمَّنْ;مِّمَّنْ;وَمِمَّنْ;وَمِمَّنْ;مِّمَّنْ,map_clean_canonical_stem,145,مَنْ,medium,true,scholar,normal,idgham,Mechanical 3854 (مَّنْ) is a shadda (idghām) artifact row. Draft = de-shadda clean stem مَنْ(145). Scholar: confirm idghām canonicalization + variant collapse.
9,مَّآ|REL|4|P|needs_review_contextual_idgham,مَّآ,REL,4,مَا,P,P+REL,needs_review_contextual_idgham,contextual_idgham;function_word_compound,11,1154,مَّآ,90,مَآ,2:229:13:2;2:267:9:3;5:4:19:2;8:70:17:2;10:41:10:2,مِمَّآ;وَمِمَّآ;مِمَّآ;مِّمَّآ;مِمَّآ,map_clean_canonical_stem,90,مَآ,medium,true,scholar,normal,idgham,Mechanical 1154 (مَّآ) is a shadda (idghām) artifact row. Draft = de-shadda clean stem مَآ(90). Scholar: confirm idghām canonicalization + variant collapse.
10,مَّنِ|REL|130|P|needs_review_contextual_idgham,مَّنِ,REL,130,مِن,P,P+REL,needs_review_contextual_idgham,contextual_idgham;function_word_compound,10,5552,مَّنِ,627,مَنِ,6:21:3:2;6:93:3:2;6:144:26:2;7:37:3:2;10:17:3:2,مِمَّنِ;مِمَّنِ;مِمَّنِ;مِمَّنِ;مِمَّنِ,map_clean_canonical_stem,627,مَنِ,medium,true,scholar,normal,idgham,Mechanical 5552 (مَّنِ) is a shadda (idghām) artifact row. Draft = de-shadda clean stem مَنِ(627). Scholar: confirm idghām canonicalization + variant collapse.
11,مَا|REL|4|ACC|needs_review_text_match,مَا,REL,4,مَا,ACC,ACC+REL,needs_review_text_match,function_word_compound,8,5,مَا,5,مَا,3:178:5:2;8:41:2:2;20:69:8:2;21:108:2:2;23:55:2:2,أَنَّمَا;أَنَّمَا;إِنَّمَا;إِنَّمَا;أَنَّمَا,accept_mechanical_clean_stem,5,مَا,medium,true,scholar,normal,clean_text_match,"Clean form already matches a clean stem 5 (مَا). Remaining question is sense-collapse (e.g. preventive vs relative ما) — scholar confirm, not auto-approved."
12,مَّا|SUP|4|COND|circular_match,مَّا,SUP,4,مَا,COND,COND+SUP,circular_match,contextual_idgham;same_as_head_stem;function_word_compound,6,446,مَّا,5,مَا,6:68:14:3;7:35:3:2;7:200:1:3;8:57:1:3;8:58:1:3,وَإِمَّا;إِمَّا;وَإِمَّا;فَإِمَّا;وَإِمَّا,treat_as_head_stem_noop,446,مَّا,low,true,scholar,normal,circular,"Secondary form text-matches the word's OWN head stem 446 (مَّا); likely a no-op (count word once, no second attribution). Note the head itself is often a shadda artifact — clean de-shadda would be مَا(5); head remap is OUT OF SCOPE. Scholar confirm whether a genuine second stem exists."
13,مَّن|REL|130|CONJ|needs_review_contextual_idgham,مَّن,REL,130,مِن,CONJ,CONJ+REL,needs_review_contextual_idgham,contextual_idgham;function_word_compound,6,1220,مَّن,131,مَن,10:35:20:2;27:61:1:2;27:62:1:2;27:63:1:2;27:64:1:2,أَمَّن;أَمَّن;أَمَّن;أَمَّن;أَمَّن,map_clean_canonical_stem,131,مَن,medium,true,scholar,normal,idgham,Mechanical 1220 (مَّن) is a shadda (idghām) artifact row. Draft = de-shadda clean stem مَن(131). Scholar: confirm idghām canonicalization + variant collapse.
