location,quran_word_id,word_text_uthmani,word_text_uthmani_simple,segment_id,segment_location,segment_number,segment_kind,segment_pos,segment_form_buckwalter,segment_form_arabic_normalized,segment_lemma_buckwalter,segment_lemma_id,segment_lemma_text,segment_root_buckwalter,segment_root_id,segment_root_text,current_word_head_stem_id,current_word_head_stem_text,primary_stem_segment_id,primary_stem_segment_number,primary_stem_pos,primary_stem_form_arabic_normalized,primary_stem_lemma_id,primary_stem_lemma_text,primary_stem_root_id,primary_stem_root_text,mechanical_candidate_stem_id,mechanical_candidate_stem_text,mechanical_candidate_match_method,mechanical_candidate_is_same_as_head_stem,mechanical_candidate_is_existing_stem,candidate_status,risk_flags,review_decision,reviewed_stem_id,reviewed_stem_text,review_notes,stem_segments_summary
2:3:6,52,وَمِمَّا,ومما,51437,2:3:6:3,3,STEM,REL,m~aA,مَّا,maA,4,مَا,,,,816,مِ,51436,2,P,مِ,130,مِن,,,446,مَّا,exact_arabic_text_match,false,true,needs_review_contextual_idgham,contextual_idgham;function_word_compound,,,,,P1{n=2;pos=P;form=مِ;lemma=130/مِن;root=-/-} P2{n=3;pos=REL;form=مَّا;lemma=4/مَا;root=-/-}
2:11:9,147,إِنَّمَا,انما,43890,2:11:9:2,2,STEM,PREV,maA,مَا,maA,4,مَا,,,,12,إِنَّ,43889,1,ACC,إِنَّ,11,إِنّ,,,5,مَا,exact_arabic_text_match,false,true,needs_review_text_match,function_word_compound,,,,,P1{n=1;pos=ACC;form=إِنَّ;lemma=11/إِنّ;root=-/-} P2{n=2;pos=PREV;form=مَا;lemma=4/مَا;root=-/-}
2:14:14,192,إِنَّمَا,انما,44950,2:14:14:2,2,STEM,PREV,maA,مَا,maA,4,مَا,,,,12,إِنَّ,44949,1,ACC,إِنَّ,11,إِنّ,,,5,مَا,exact_arabic_text_match,false,true,needs_review_text_match,function_word_compound,,,,,P1{n=1;pos=ACC;form=إِنَّ;lemma=11/إِنّ;root=-/-} P2{n=2;pos=PREV;form=مَا;lemma=4/مَا;root=-/-}
2:23:5,327,مِّمَّا,مما,48690,2:23:5:2,2,STEM,REL,m~aA,مَّا,maA,4,مَا,,,,1305,مِّ,48689,1,P,مِّ,130,مِن,,,446,مَّا,exact_arabic_text_match,false,true,needs_review_contextual_idgham,contextual_idgham;function_word_compound,,,,,P1{n=1;pos=P;form=مِّ;lemma=130/مِن;root=-/-} P2{n=2;pos=REL;form=مَّا;lemma=4/مَا;root=-/-}
2:36:5,606,مِمَّا,مما,51348,2:36:5:2,2,STEM,REL,m~aA,مَّا,maA,4,مَا,,,,816,مِ,51347,1,P,مِ,130,مِن,,,446,مَّا,exact_arabic_text_match,false,true,needs_review_contextual_idgham,contextual_idgham;function_word_compound,,,,,P1{n=1;pos=P;form=مِ;lemma=130/مِن;root=-/-} P2{n=2;pos=REL;form=مَّا;lemma=4/مَا;root=-/-}
2:61:14,985,مِمَّا,مما,52017,2:61:14:2,2,STEM,REL,m~aA,مَّا,maA,4,مَا,,,,816,مِ,52016,1,P,مِ,130,مِن,,,446,مَّا,exact_arabic_text_match,false,true,needs_review_contextual_idgham,contextual_idgham;function_word_compound,,,,,P1{n=1;pos=P;form=مِ;lemma=130/مِن;root=-/-} P2{n=2;pos=REL;form=مَّا;lemma=4/مَا;root=-/-}
2:74:36,1275,عَمَّا,عما,52515,2:74:36:2,2,STEM,REL,m~aA,مَّا,maA,4,مَا,,,,446,مَّا,52514,1,P,عَ,194,عَن,,,446,مَّا,exact_arabic_text_match,true,true,circular_match,contextual_idgham;same_as_head_stem;function_word_compound,,,,,P1{n=1;pos=P;form=عَ;lemma=194/عَن;root=-/-} P2{n=2;pos=REL;form=مَّا;lemma=4/مَا;root=-/-}
2:79:18,1361,مِّمَّا,مما,52652,2:79:18:2,2,STEM,REL,m~aA,مَّا,maA,4,مَا,,,,1305,مِّ,52651,1,P,مِّ,130,مِن,,,446,مَّا,exact_arabic_text_match,false,true,needs_review_contextual_idgham,contextual_idgham;function_word_compound,,,,,P1{n=1;pos=P;form=مِّ;lemma=130/مِن;root=-/-} P2{n=2;pos=REL;form=مَّا;lemma=4/مَا;root=-/-}
2:79:23,1366,مِّمَّا,مما,52663,2:79:23:2,2,STEM,REL,m~aA,مَّا,maA,4,مَا,,,,1305,مِّ,52662,1,P,مِّ,130,مِن,,,446,مَّا,exact_arabic_text_match,false,true,needs_review_contextual_idgham,contextual_idgham;function_word_compound,,,,,P1{n=1;pos=P;form=مِّ;lemma=130/مِن;root=-/-} P2{n=2;pos=REL;form=مَّا;lemma=4/مَا;root=-/-}
2:85:48,1511,عَمَّا,عما,52924,2:85:48:2,2,STEM,REL,m~aA,مَّا,maA,4,مَا,,,,446,مَّا,52923,1,P,عَ,194,عَن,,,446,مَّا,exact_arabic_text_match,true,true,circular_match,contextual_idgham;same_as_head_stem;function_word_compound,,,,,P1{n=1;pos=P;form=عَ;lemma=194/عَن;root=-/-} P2{n=2;pos=REL;form=مَّا;lemma=4/مَا;root=-/-}
2:90:1,1595,بِئْسَمَا,بئسما,53095,2:90:1:2,2,STEM,REL,maA,مَا,maA,4,مَا,,,,2935,بِئْسَ,53094,1,V,بِئْسَ,2934,بِئْسَ,2343,ب   ا   س,5,مَا,exact_arabic_text_match,false,true,needs_review_text_match,function_word_compound,,,,,P1{n=1;pos=V;form=بِئْسَ;lemma=2934/بِئْسَ;root=2343/ب   ا   س} P2{n=2;pos=REL;form=مَا;lemma=4/مَا;root=-/-}
2:93:21,1686,بِئْسَمَا,بئسما,53233,2:93:21:2,2,STEM,REL,maA,مَا,maA,4,مَا,,,,2935,بِئْسَ,53232,1,V,بِئْسَ,2934,بِئْسَ,2343,ب   ا   س,5,مَا,exact_arabic_text_match,false,true,needs_review_text_match,function_word_compound,,,,,P1{n=1;pos=V;form=بِئْسَ;lemma=2934/بِئْسَ;root=2343/ب   ا   س} P2{n=2;pos=REL;form=مَا;lemma=4/مَا;root=-/-}
2:102:30,1854,إِنَّمَا,انما,43272,2:102:30:2,2,STEM,PREV,maA,مَا,maA,4,مَا,,,,12,إِنَّ,43271,1,ACC,إِنَّ,11,إِنّ,,,5,مَا,exact_arabic_text_match,false,true,needs_review_text_match,function_word_compound,,,,,P1{n=1;pos=ACC;form=إِنَّ;lemma=11/إِنّ;root=-/-} P2{n=2;pos=PREV;form=مَا;lemma=4/مَا;root=-/-}
2:113:28,2125,فِيمَا,فيما,43698,2:113:28:2,2,STEM,REL,maA,مَا,maA,4,مَا,,,,653,فِي,43697,1,P,فِي,6,فِى,,,5,مَا,exact_arabic_text_match,false,true,needs_review_text_match,function_word_compound,,,,,P1{n=1;pos=P;form=فِي;lemma=6/فِى;root=-/-} P2{n=2;pos=REL;form=مَا;lemma=4/مَا;root=-/-}
2:114:3,2132,مِمَّن,ممن,43750,2:114:3:2,2,STEM,REL,m~an,مَّن,man,130,مِن,,,,816,مِ,43749,1,P,مِ,130,مِن,,,1220,مَّن,exact_arabic_text_match,false,true,needs_review_contextual_idgham,contextual_idgham;function_word_compound,,,,,P1{n=1;pos=P;form=مِ;lemma=130/مِن;root=-/-} P2{n=2;pos=REL;form=مَّن;lemma=130/مِن;root=-/-}
2:117:7,2195,فَإِنَّمَا,فانما,43816,2:117:7:3,3,STEM,PREV,maA,مَا,maA,4,مَا,,,,12,إِنَّ,43815,2,ACC,إِنَّ,11,إِنّ,,,5,مَا,exact_arabic_text_match,false,true,needs_review_text_match,function_word_compound,,,,,P1{n=2;pos=ACC;form=إِنَّ;lemma=11/إِنّ;root=-/-} P2{n=3;pos=PREV;form=مَا;lemma=4/مَا;root=-/-}
